rms_mean,rms_std,zcr_mean,zcr_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,item,condition,method,process,score_mean,score_std,score_median,n_ratings
0.031402417,0.03570158,0.03749966012906032,0.0342177410853484,974.7619730246498,543.516470217315,810.7489349248821,232.39434763655257,1804.392492024362,822.1442303163295,-419.53317,49.546535,159.60336,41.762142,17.27441,31.691988,-13.139897,21.501616,28.646458,22.054829,26.486025,14.928329,-6.376355,16.170547,-5.311316,12.185827,9.1084175,13.035933,-1.6433562,6.955285,-12.590655,9.145272,-2.7168756,9.188792,2.051651,9.12988,DE_CosmosLandromat_remix1_LD6,LP3.5,DE,LP35,19.23076923076923,11.772196710241271,20.0,26
0.032453965,0.03526453,0.05342827816850348,0.059230531457166766,1602.5971736864365,1083.385344370786,1473.5618772765285,348.87416059779355,2920.52186049884,1707.2000394959948,-389.59216,66.06662,142.14543,40.031525,-9.022073,48.705643,23.275728,24.262707,23.566374,19.486004,0.6953167,19.661392,15.629028,13.1225605,-1.9342327,12.311321,-6.853681,11.679987,5.194104,9.273527,-8.560016,8.63627,-5.265446,9.5124855,-0.25950265,9.164764,DE_CosmosLandromat_remix1_LD6,LP7,DE,LP70,44.15384615384615,21.52894295164964,40.5,26
0.034159996,0.033339053,0.06603352486948956,0.07440371512194462,2362.8916360941757,1554.666660988999,2695.2499986661887,731.5986956221577,4242.36576230786,2712.605689687524,-325.72836,64.84408,147.51453,43.957603,-17.903725,22.449793,24.528915,24.021383,6.713499,17.861143,11.592408,13.587175,1.3582661,11.70379,3.9204423,10.8795805,-1.2314923,6.729588,-4.127457,6.9198065,-2.626536,6.935969,-2.3318083,7.370068,-2.6735375,6.8283787,DE_CosmosLandromat_remix1_LD6,Q1,DE,OpenUnmix_mid,18.346153846153847,9.616412252778302,16.0,26
0.03493706,0.03348349,0.05891436158642691,0.07774189769153877,2453.770403769841,1750.8144523111973,3128.9445656704297,920.3003369509331,4623.068796675609,3333.1642878818716,-358.51465,80.82917,135.0898,48.61251,8.069408,34.527122,29.026125,26.64158,10.531586,18.715157,22.653341,14.190857,2.5735261,12.27563,9.038448,12.288315,-0.74368674,7.9880424,-1.0513549,8.942869,-4.7233777,7.4901776,-1.1452134,8.309126,1.4875282,7.6937017,DE_CosmosLandromat_remix1_LD6,Q2,DE,TFC_TDF_U_Net_mid,26.76923076923077,15.092535088069711,22.0,26
0.029820634,0.035545252,0.05590197215777262,0.06583207515123538,2535.865323951196,1661.8426214978742,3345.480040669416,958.7119579156416,4767.3312654074825,3343.1548879871207,-402.1406,69.90925,121.391335,49.82012,14.724571,34.56022,24.45317,24.766497,13.408702,16.98582,17.031122,16.237566,3.0071507,12.93069,4.156254,10.403051,0.030366406,8.246108,-4.2190833,8.870316,-4.631018,7.4820843,-1.9922484,8.764206,-3.3287475,8.267073,DE_CosmosLandromat_remix1_LD6,Q3,DE,Cocktail_mid,42.57692307692308,22.409235733372217,39.0,26
0.030636882,0.035107758,0.07406127646461717,0.10076175277138313,2854.5510436085856,2318.537677059284,3296.6516387809725,1099.3504694535097,5138.841470598898,4025.737084267723,-395.86108,77.54063,114.49074,64.03617,13.511973,35.602894,25.185694,27.484997,13.486123,18.189985,15.06506,16.178402,4.79266,13.74425,3.5500162,13.1106825,-0.68141246,9.31878,1.1166965,8.508089,-3.9932575,8.377328,-1.3522853,10.138597,-5.4671655,9.624761,DE_CosmosLandromat_remix1_LD6,Q4,DE,DeepFilterNet2_mid,53.19230769230769,19.94797078555958,55.0,26
0.032504655,0.035061438,0.07779872389791183,0.09416001842899126,3275.0127627620636,2216.3550418263217,3950.0721075998863,1170.146603149462,6240.357238344693,4381.386488283213,-376.4559,86.47303,107.344055,61.24379,11.115574,35.133595,24.664783,25.884531,12.811784,19.22728,17.504494,15.637868,4.3959317,13.449732,1.1336795,13.983126,-1.9973274,11.915375,-0.5577508,8.201844,-5.243836,9.149355,-2.7526286,11.039245,-6.2376795,10.583339,DE_CosmosLandromat_remix1_LD6,Q5,DE,PSM_quantize_mask,73.11538461538461,22.75667273232521,76.0,26
0.033097968,0.035025887,0.07969407083816706,0.0924128891819572,3397.9840891290332,2137.2329949029095,4105.160716996034,1154.9562271872567,6624.782369308295,4404.672962971227,-362.8388,87.81326,110.157486,57.55107,8.095412,33.133217,23.436766,24.04308,10.874685,18.353138,16.998386,14.472769,4.0702286,12.397123,0.9645922,13.196308,-2.6889625,11.146772,-0.90014994,7.39731,-5.64665,8.224706,-2.8706446,10.153011,-6.3464184,9.960277,DE_CosmosLandromat_remix1_LD6,Ref,DE,reference,99.42307692307692,2.9417420270727614,100.0,26
0.029654842,0.032052692,0.028091466067285385,0.0263639388800027,851.9637680214313,477.1698587548064,818.0893974335675,245.7792813395255,1658.4813093641242,846.2575158477639,-428.03827,68.34645,165.85057,54.28877,21.60212,31.159163,-5.7895365,29.101635,38.016582,21.71192,31.986216,14.596475,-5.266037,16.185625,-4.0450473,12.88723,11.874905,12.052588,0.62497336,9.629899,-10.891607,11.942652,-0.10910863,10.308433,5.665564,8.0688505,DE_CosmosLandromat_remix3_LD3,LP3.5,DE,LP35,21.423076923076923,11.771739300283802,20.0,26
0.030764999,0.03181231,0.04481708146026682,0.05429880562777385,1464.0495371863346,1047.6945912296737,1474.512850719118,398.84532578118296,2712.584061412413,1702.094690322234,-396.9718,86.393,147.39482,49.22905,-5.107313,49.72111,32.23831,27.478106,31.440128,18.78944,6.184506,19.623013,18.296804,14.765561,-2.2837272,13.678553,-3.9011264,14.222284,8.672721,10.354231,-8.169824,11.479553,-2.288845,10.7136545,3.877093,7.8837,DE_CosmosLandromat_remix3_LD3,LP7,DE,LP70,40.65384615384615,20.399886877514408,35.5,26
